group_1	group_2	number	genes
positive biocontrol +T-22+Ac	negative biocontrol +T-22 +Ac	490	BVRB_1g002120;BVRB_7g178940;BVRB_1g011320;BVRB_2g025460;BVRB_5g104680;BVRB_6g129940;BVRB_9g219630;BVRB_5g103250;BVRB_7g168070;BVRB_9g214860;BVRB_7g156890;BVRB_2g033000;BVRB_4g087630;BVRB_6g136300;BVRB_1g021710;BVRB_7g170020;BVRB_9g219650;BVRB_9g223070;BVRB_5g108570;BVRB_5g121340;BVRB_1g008680;BVRB_2g037660;BVRB_2g033700;BVRB_6g127880;BVRB_8g183530;BVRB_6g135620;BVRB_4g075810;BVRB_9g222140;BVRB_2g041460;BVRB_5g098500;BVRB_6g147220;BVRB_1g016400;BVRB_4g093570;BVRB_1g003370;BVRB_7g166980;BVRB_3g051570;BVRB_2g024260;BVRB_5g119740;BVRB_9g224720;BVRB_2g030130;BVRB_8g191710;BVRB_9g210750;BVRB_3g058470;BVRB_6g152920;BVRB_9g223590;BVRB_3g051640;BVRB_5g121960;BVRB_4g092730;BVRB_6g127470;BVRB_7g169530;BVRB_2g031260;BVRB_1g000670;BVRB_5g114620;BVRB_4g072140;BVRB_2g027670;BVRB_8g183460;BVRB_9g204750;BVRB_9g207820;BVRB_007030;BVRB_4g088160;BVRB_9g213600;BVRB_1g006830;BVRB_1g007590;BVRB_8g195270;BVRB_006980;BVRB_3g052410;BVRB_4g075290;BVRB_8g191330;BVRB_5g122530;BVRB_002570;BVRB_6g153340;BVRB_4g079790;BVRB_3g050500;BVRB_7g162290;BVRB_7g174890;BVRB_7g161280;BVRB_6g133130;BVRB_7g169980;BVRB_2g045920;BVRB_009580;BVRB_1g016970;BVRB_8g198850;BVRB_1g012030;BVRB_3g065750;BVRB_4g082930;BVRB_6g133170;BVRB_7g173130;BVRB_5g124310;BVRB_1g000960;BVRB_1g012190;BVRB_4g090020;BVRB_8g182770;BVRB_8g198640;BVRB_005730;BVRB_000070;BVRB_013490;BVRB_3g062570;BVRB_8g183110;BVRB_9g207000;BVRB_5g126880;BVRB_3g050290;BVRB_9g212500;BVRB_7g168290;BVRB_7g174120;BVRB_1g014830;BVRB_9g202360;BVRB_8g198730;BVRB_3g062170;BVRB_7g160350;BVRB_8g182790;BVRB_4g071390;BVRB_8g186000;BVRB_005560;BVRB_8g197650;BVRB_2g041900;BVRB_5g125020;BVRB_1g003490;BVRB_6g131260;BVRB_2g035340;BVRB_5g116720;BVRB_6g149770;BVRB_7g157640;BVRB_7g176860;BVRB_8g197440;BVRB_5g105510;BVRB_2g046580;BVRB_008580;BVRB_6g145930;BVRB_4g082790;BVRB_5g115380;BVRB_1g002840;BVRB_7g158230;BVRB_2g047720;BVRB_1g018390;BVRB_9g215140;BVRB_1g009650;BVRB_5g109600;BVRB_8g184330;BVRB_1g016980;BVRB_6g142510;BVRB_8g186040;BVRB_2g036020;BVRB_5g120380;BVRB_5g125710;BVRB_3g058930;BVRB_6g128180;BVRB_8g197670;BVRB_9g218410;BVRB_8g183250;BVRB_4g093400;BVRB_7g156780;BVRB_3g059310;BVRB_8g195710;BVRB_5g100240;BVRB_3g063610;BVRB_1g010730;BVRB_000100;BVRB_3g047950;BVRB_8g181130;BVRB_7g162270;BVRB_9g207010;BVRB_2g027200;BVRB_4g092420;BVRB_5g123100;BVRB_5g106870;BVRB_6g153730;BVRB_5g122020;BVRB_3g068160;BVRB_4g087650;BVRB_5g112470;BVRB_007300;BVRB_5g123180;BVRB_5g113920;BVRB_8g188040;BVRB_3g057500;BVRB_6g153240;BVRB_7g168120;BVRB_6g148240;BVRB_1g020730;BVRB_7g177600;BVRB_5g107150;BVRB_8g192320;BVRB_9g208660;BVRB_4g088620;BVRB_1g020290;BVRB_5g098890;BVRB_9g216780;BVRB_1g003710;BVRB_8g193750;BVRB_3g048270;BVRB_7g161470;BVRB_5g100870;BVRB_1g007020;BVRB_7g171850;BVRB_3g063560;BVRB_001270;BVRB_2g028720;BVRB_2g044560;BVRB_8g195700;BVRB_1g019510;BVRB_3g061370;BVRB_1g005660;BVRB_1g003320;BVRB_9g213550;BVRB_1g001980;BVRB_3g066110;BVRB_1g015160;BVRB_2g028230;BVRB_6g154810;BVRB_9g208060;BVRB_6g136860;BVRB_8g196290;BVRB_9g220070;BVRB_6g139750;BVRB_8g196250;BVRB_6g144980;BVRB_6g152610;BVRB_2g033220;BVRB_013110;BVRB_2g038500;BVRB_9g205870;BVRB_1g002440;BVRB_1g006910;BVRB_8g192260;BVRB_8g198900;BVRB_2g047670;BVRB_7g157660;BVRB_6g137300;BVRB_6g153350;BVRB_7g179060;BVRB_3g053960;BVRB_6g137340;BVRB_7g174880;BVRB_1g016490;BVRB_9g218480;BVRB_3g059180;BVRB_6g155320;BVRB_9g207920;BVRB_000180;BVRB_4g094740;BVRB_4g093150;BVRB_3g060160;BVRB_6g145580;BVRB_8g200490;BVRB_9g212960;BVRB_8g197090;BVRB_9g220620;BVRB_8g184740;BVRB_3g068190;BVRB_4g091980;BVRB_1g022210;BVRB_7g156570;BVRB_6g138740;BVRB_8g188970;BVRB_3g057700;BVRB_7g168340;BVRB_5g104800;BVRB_2g044680;BVRB_9g210820;BVRB_008870;BVRB_6g152520;BVRB_7g171640;BVRB_2g035280;BVRB_6g149180;BVRB_1g014790;BVRB_7g174740;BVRB_3g061390;BVRB_1g021120;BVRB_7g168080;BVRB_7g158160;BVRB_2g023790;BVRB_3g050560;BVRB_8g184420;BVRB_8g196350;BVRB_1g008460;BVRB_3g052560;BVRB_5g120190;BVRB_6g139590;BVRB_8g187290;BVRB_4g077670;BVRB_6g151110;BVRB_2g024430;BVRB_1g008630;BVRB_7g175000;BVRB_1g006640;BVRB_7g169990;BVRB_4g071490;BVRB_5g119200;BVRB_1g017670;BVRB_2g028220;BVRB_3g050770;BVRB_4g071860;BVRB_5g104140;BVRB_7g180750;BVRB_3g048090;BVRB_4g084410;BVRB_6g153740;BVRB_3g065050;BVRB_7g160590;BVRB_3g067740;BVRB_6g154670;BVRB_8g180930;BVRB_1g003290;BVRB_5g116680;BVRB_1g002650;BVRB_4g090860;BVRB_8g198680;BVRB_2g025410;BVRB_5g121480;BVRB_6g139660;BVRB_001100;BVRB_8g181820;BVRB_9g218770;BVRB_9g206030;BVRB_002390;BVRB_1g011360;BVRB_2g025620;BVRB_8g198830;BVRB_9g214620;BVRB_9g225100;BVRB_5g118130;BVRB_8g200470;BVRB_5g108580;BVRB_7g171240;BVRB_7g176060;BVRB_5g124960;BVRB_3g056770;BVRB_4g072280;BVRB_5g098710;BVRB_6g142440;BVRB_2g041880;BVRB_8g185970;BVRB_3g059540;BVRB_3g049320;BVRB_2g027060;BVRB_4g083210;BVRB_6g128960;BVRB_3g050990;BVRB_2g038890;BVRB_5g097760;BVRB_6g150510;BVRB_7g157990;BVRB_2g024070;BVRB_7g178530;BVRB_6g130600;BVRB_5g098770;BVRB_8g201230;BVRB_1g015790;BVRB_2g027220;BVRB_6g136430;BVRB_009850;BVRB_1g014870;BVRB_1g022600;BVRB_3g062310;BVRB_5g097910;BVRB_5g104280;BVRB_6g131100;BVRB_8g198620;BVRB_3g049870;BVRB_5g110520;BVRB_8g182380;BVRB_1g016520;BVRB_007930;BVRB_6g153100;BVRB_4g092350;BVRB_7g173660;BVRB_1g012710;BVRB_1g005920;BVRB_8g184880;BVRB_8g196800;BVRB_3g055440;BVRB_9g214510;BVRB_3g065650;BVRB_8g194350;BVRB_9g213520;BVRB_7g160580;BVRB_7g164820;BVRB_2g024040;BVRB_6g132670;BVRB_7g173730;BVRB_007600;BVRB_3g065810;BVRB_5g113100;BVRB_5g120180;BVRB_9g216250;BVRB_1g013540;BVRB_001830;BVRB_6g138640;BVRB_8g181150;BVRB_6g152100;BVRB_6g153480;BVRB_6g133120;BVRB_1g015990;BVRB_6g154920;BVRB_7g157720;BVRB_7g165560;BVRB_2g039670;BVRB_8g189180;BVRB_5g104380;BVRB_4g092600;BVRB_008000;BVRB_1g005280;BVRB_5g102030;BVRB_5g118530;BVRB_6g151280;BVRB_2g031840;BVRB_8g194050;BVRB_1g006500;BVRB_6g135330;BVRB_6g143290;BVRB_2g045760;BVRB_3g059730;BVRB_1g019480;BVRB_9g213420;BVRB_014210;BVRB_015220;BVRB_3g059210;BVRB_3g066310;BVRB_7g166000;BVRB_2g024760;BVRB_013240;BVRB_9g220510;BVRB_1g006000;BVRB_5g119070;BVRB_5g104200;BVRB_3g060820;BVRB_4g094630;BVRB_5g109550;BVRB_5g120350;BVRB_2g045360;BVRB_4g087050;BVRB_1g012980;BVRB_1g022070;BVRB_7g177100;BVRB_7g161530;BVRB_5g119690;BVRB_1g013070;BVRB_7g171140;BVRB_5g114770;BVRB_8g191690;BVRB_2g042770;BVRB_3g061600;BVRB_4g088300;BVRB_7g175690;BVRB_5g121720;BVRB_4g086490;BVRB_9g224730;BVRB_2g026330;BVRB_6g144610;BVRB_8g181340;BVRB_1g015280;BVRB_4g090400;BVRB_5g106050;BVRB_9g220160;BVRB_7g177770;BVRB_1g013200;BVRB_005140;BVRB_8g187520;BVRB_5g115930;BVRB_6g127910;BVRB_2g030060;BVRB_2g042330;BVRB_1g006330;BVRB_1g016440;BVRB_1g009670;BVRB_8g190440;BVRB_2g040060;BVRB_1g012730;BVRB_5g103140;BVRB_2g036610;BVRB_1g015620;BVRB_3g068390;BVRB_7g161290;BVRB_4g093530;BVRB_3g049560;BVRB_6g138600;BVRB_9g225500;BVRB_8g195320;BVRB_5g102570;BVRB_3g069050;BVRB_7g164830;BVRB_001820;BVRB_011310;BVRB_5g098810;BVRB_6g142160;BVRB_6g151000;BVRB_3g050660;BVRB_3g064820;BVRB_5g104900;BVRB_6g136080
positive biocontrol +T-22+Ac	positive biocontrol +Ac	661	BVRB_1g002120;BVRB_7g178940;BVRB_1g011320;BVRB_2g025460;BVRB_5g104680;BVRB_6g129940;BVRB_9g219630;BVRB_5g103250;BVRB_7g168070;BVRB_9g214860;BVRB_7g157090;BVRB_7g156890;BVRB_2g033000;BVRB_4g087630;BVRB_6g136300;BVRB_1g021710;BVRB_7g170020;BVRB_9g219650;BVRB_9g223070;BVRB_5g108570;BVRB_5g121340;BVRB_1g008680;BVRB_2g037660;BVRB_2g033700;BVRB_6g127880;BVRB_8g183530;BVRB_6g135620;BVRB_4g075810;BVRB_2g045320;BVRB_3g058720;BVRB_9g222140;BVRB_2g041460;BVRB_5g098500;BVRB_6g147220;BVRB_1g016400;BVRB_4g093570;BVRB_1g003370;BVRB_7g166980;BVRB_3g051570;BVRB_2g024260;BVRB_4g073650;BVRB_5g119740;BVRB_9g224720;BVRB_2g030130;BVRB_8g191710;BVRB_9g210750;BVRB_3g058470;BVRB_6g152920;BVRB_9g223590;BVRB_3g051640;BVRB_5g121960;BVRB_4g092730;BVRB_6g127470;BVRB_002590;BVRB_7g169530;BVRB_2g031260;BVRB_1g000670;BVRB_5g114620;BVRB_4g072140;BVRB_2g027670;BVRB_4g089570;BVRB_7g170000;BVRB_8g183460;BVRB_9g204750;BVRB_9g207820;BVRB_007030;BVRB_4g088160;BVRB_9g213600;BVRB_1g006830;BVRB_1g007590;BVRB_9g225670;BVRB_8g195270;BVRB_006980;BVRB_3g052410;BVRB_4g075290;BVRB_8g191330;BVRB_5g122530;BVRB_002570;BVRB_6g153340;BVRB_4g079790;BVRB_3g050500;BVRB_7g162290;BVRB_7g174890;BVRB_7g161280;BVRB_6g133130;BVRB_7g169980;BVRB_2g045920;BVRB_1g016970;BVRB_8g198850;BVRB_3g065750;BVRB_4g082930;BVRB_6g133170;BVRB_7g173130;BVRB_4g089010;BVRB_5g124310;BVRB_013300;BVRB_1g000960;BVRB_1g012190;BVRB_2g036990;BVRB_5g121470;BVRB_8g182770;BVRB_8g198640;BVRB_005730;BVRB_000070;BVRB_013490;BVRB_3g062570;BVRB_5g104410;BVRB_8g183110;BVRB_9g207000;BVRB_8g195220;BVRB_5g126880;BVRB_8g191780;BVRB_3g050290;BVRB_9g212500;BVRB_2g044480;BVRB_6g150120;BVRB_7g168290;BVRB_7g174120;BVRB_1g014830;BVRB_9g202360;BVRB_8g198730;BVRB_3g062170;BVRB_7g160350;BVRB_8g182790;BVRB_4g071390;BVRB_8g186000;BVRB_005560;BVRB_035900;BVRB_8g197650;BVRB_2g041900;BVRB_5g125020;BVRB_9g223100;BVRB_6g131260;BVRB_2g035340;BVRB_5g116720;BVRB_6g149770;BVRB_7g157640;BVRB_7g176860;BVRB_8g197440;BVRB_5g105510;BVRB_2g046580;BVRB_008580;BVRB_4g089450;BVRB_6g145930;BVRB_4g082790;BVRB_5g115380;BVRB_1g002840;BVRB_7g158230;BVRB_2g047720;BVRB_1g018390;BVRB_9g215140;BVRB_1g009650;BVRB_5g114650;BVRB_4g088290;BVRB_6g146760;BVRB_5g109600;BVRB_8g184330;BVRB_1g016980;BVRB_6g142510;BVRB_8g186040;BVRB_2g036020;BVRB_3g068430;BVRB_2g023780;BVRB_2g043340;BVRB_5g120380;BVRB_5g125710;BVRB_3g058930;BVRB_6g128180;BVRB_8g197670;BVRB_9g218410;BVRB_8g183250;BVRB_4g093400;BVRB_7g156780;BVRB_3g059310;BVRB_8g195710;BVRB_9g215490;BVRB_5g100240;BVRB_3g063610;BVRB_1g010730;BVRB_5g102400;BVRB_4g095450;BVRB_3g067810;BVRB_000100;BVRB_005620;BVRB_3g047950;BVRB_8g181130;BVRB_6g156500;BVRB_7g162270;BVRB_2g027200;BVRB_4g092420;BVRB_1g017010;BVRB_5g123100;BVRB_5g106870;BVRB_6g153730;BVRB_5g122020;BVRB_3g068160;BVRB_4g087650;BVRB_007300;BVRB_4g089290;BVRB_5g123180;BVRB_7g170790;BVRB_5g113920;BVRB_8g188040;BVRB_8g185850;BVRB_3g057500;BVRB_6g153240;BVRB_7g169290;BVRB_7g168120;BVRB_6g148240;BVRB_1g020730;BVRB_7g177600;BVRB_5g107150;BVRB_8g192320;BVRB_9g208660;BVRB_004980;BVRB_4g080410;BVRB_4g088620;BVRB_1g020290;BVRB_6g133000;BVRB_5g098890;BVRB_9g223960;BVRB_4g092080;BVRB_7g167070;BVRB_9g216780;BVRB_1g003710;BVRB_8g193750;BVRB_3g048270;BVRB_7g169210;BVRB_009630;BVRB_7g161470;BVRB_5g100870;BVRB_1g007020;BVRB_7g171850;BVRB_001270;BVRB_2g028720;BVRB_2g044560;BVRB_5g107860;BVRB_8g202050;BVRB_1g006150;BVRB_5g114360;BVRB_4g094520;BVRB_8g195700;BVRB_1g019510;BVRB_3g061370;BVRB_4g072790;BVRB_010530;BVRB_1g005660;BVRB_9g208590;BVRB_1g003320;BVRB_000800;BVRB_9g213550;BVRB_1g001980;BVRB_3g066110;BVRB_2g024800;BVRB_7g168150;BVRB_1g015160;BVRB_2g028230;BVRB_4g086470;BVRB_5g112200;BVRB_6g154810;BVRB_7g156710;BVRB_9g208060;BVRB_6g136860;BVRB_8g196290;BVRB_9g220070;BVRB_3g051020;BVRB_6g139750;BVRB_8g196250;BVRB_6g144980;BVRB_6g152610;BVRB_2g033220;BVRB_9g209990;BVRB_013110;BVRB_2g024360;BVRB_2g038500;BVRB_9g205870;BVRB_1g002440;BVRB_1g006910;BVRB_8g192260;BVRB_8g198900;BVRB_2g047670;BVRB_7g157660;BVRB_6g138530;BVRB_6g137300;BVRB_6g153350;BVRB_9g209140;BVRB_3g064260;BVRB_7g179060;BVRB_8g192750;BVRB_3g053960;BVRB_5g113610;BVRB_6g137340;BVRB_7g169280;BVRB_7g174880;BVRB_1g013330;BVRB_1g016490;BVRB_3g057870;BVRB_9g218480;BVRB_5g102540;BVRB_3g059180;BVRB_6g155320;BVRB_9g207920;BVRB_000180;BVRB_4g095750;BVRB_9g211380;BVRB_5g099630;BVRB_6g148540;BVRB_4g093150;BVRB_5g101120;BVRB_8g198570;BVRB_3g060160;BVRB_6g145580;BVRB_8g200490;BVRB_6g134670;BVRB_9g212960;BVRB_8g197090;BVRB_1g014610;BVRB_9g220620;BVRB_8g184740;BVRB_3g068190;BVRB_4g091980;BVRB_3g064770;BVRB_7g174540;BVRB_1g017890;BVRB_1g022210;BVRB_7g174010;BVRB_1g023320;BVRB_6g128390;BVRB_7g156570;BVRB_6g138740;BVRB_8g188970;BVRB_003040;BVRB_3g048160;BVRB_3g057700;BVRB_7g160460;BVRB_7g168340;BVRB_5g104800;BVRB_2g044680;BVRB_9g208380;BVRB_010680;BVRB_9g210820;BVRB_008870;BVRB_4g071560;BVRB_8g182700;BVRB_6g133780;BVRB_6g152520;BVRB_7g171640;BVRB_2g035280;BVRB_6g149180;BVRB_7g174740;BVRB_3g061390;BVRB_1g021120;BVRB_7g168080;BVRB_9g209120;BVRB_7g158160;BVRB_2g023790;BVRB_3g050560;BVRB_8g184420;BVRB_000110;BVRB_7g169200;BVRB_8g196350;BVRB_1g008460;BVRB_3g052560;BVRB_8g193150;BVRB_5g120190;BVRB_6g139590;BVRB_8g187290;BVRB_4g077670;BVRB_6g151110;BVRB_2g024430;BVRB_1g008630;BVRB_7g175000;BVRB_1g006640;BVRB_7g169990;BVRB_3g066130;BVRB_6g133560;BVRB_6g148430;BVRB_5g119200;BVRB_012110;BVRB_1g017670;BVRB_3g050770;BVRB_4g077430;BVRB_8g194630;BVRB_4g071860;BVRB_6g151550;BVRB_5g104140;BVRB_3g048090;BVRB_4g084410;BVRB_6g153740;BVRB_5g123090;BVRB_3g065050;BVRB_8g193370;BVRB_7g160590;BVRB_3g050100;BVRB_3g067740;BVRB_6g154670;BVRB_8g180930;BVRB_1g003290;BVRB_5g116680;BVRB_5g123150;BVRB_1g002650;BVRB_4g090860;BVRB_8g198680;BVRB_5g121480;BVRB_2g044910;BVRB_6g139660;BVRB_001100;BVRB_8g181820;BVRB_9g218770;BVRB_9g206030;BVRB_002390;BVRB_2g025620;BVRB_4g079520;BVRB_4g081430;BVRB_8g198830;BVRB_9g214620;BVRB_9g225100;BVRB_5g118130;BVRB_010730;BVRB_8g200470;BVRB_5g108580;BVRB_6g152670;BVRB_6g155830;BVRB_7g171240;BVRB_7g176060;BVRB_8g184860;BVRB_9g221760;BVRB_9g222800;BVRB_7g172370;BVRB_4g091550;BVRB_5g124960;BVRB_3g056770;BVRB_4g072280;BVRB_9g202480;BVRB_5g098710;BVRB_6g142440;BVRB_2g041880;BVRB_6g155650;BVRB_8g185970;BVRB_3g059540;BVRB_3g049320;BVRB_2g027060;BVRB_4g083210;BVRB_6g128960;BVRB_3g050990;BVRB_1g013980;BVRB_2g038890;BVRB_5g097760;BVRB_6g150510;BVRB_4g072220;BVRB_7g157990;BVRB_4g090040;BVRB_7g178530;BVRB_6g130600;BVRB_2g031790;BVRB_3g053200;BVRB_7g175780;BVRB_8g181570;BVRB_5g098770;BVRB_8g201230;BVRB_6g148990;BVRB_8g198210;BVRB_1g015790;BVRB_2g027220;BVRB_6g136430;BVRB_6g131440;BVRB_009850;BVRB_1g014870;BVRB_1g022600;BVRB_3g062310;BVRB_5g097910;BVRB_5g104280;BVRB_6g131100;BVRB_8g198620;BVRB_9g209790;BVRB_4g094880;BVRB_3g049870;BVRB_8g182380;BVRB_1g016520;BVRB_007930;BVRB_3g058140;BVRB_4g079230;BVRB_6g153100;BVRB_4g090450;BVRB_1g012710;BVRB_7g157060;BVRB_1g005920;BVRB_8g184880;BVRB_8g196800;BVRB_3g055440;BVRB_9g214510;BVRB_3g065650;BVRB_4g091910;BVRB_1g007430;BVRB_8g194350;BVRB_4g084150;BVRB_9g213520;BVRB_7g164820;BVRB_8g195160;BVRB_3g061520;BVRB_6g132670;BVRB_2g042140;BVRB_5g120550;BVRB_7g173730;BVRB_3g066210;BVRB_1g015010;BVRB_007600;BVRB_3g065810;BVRB_5g113100;BVRB_5g120180;BVRB_9g216250;BVRB_1g013540;BVRB_001830;BVRB_6g138640;BVRB_8g181150;BVRB_5g102490;BVRB_6g153480;BVRB_2g042460;BVRB_6g133120;BVRB_1g015990;BVRB_2g026770;BVRB_1g010530;BVRB_6g154920;BVRB_7g157720;BVRB_7g165560;BVRB_1g006300;BVRB_2g039670;BVRB_3g064450;BVRB_8g189180;BVRB_5g104380;BVRB_008000;BVRB_1g005280;BVRB_4g093130;BVRB_5g102030;BVRB_5g118530;BVRB_6g151280;BVRB_2g031840;BVRB_8g194050;BVRB_1g006500;BVRB_5g109880;BVRB_6g135330;BVRB_7g169170;BVRB_9g202460;BVRB_5g114610;BVRB_6g143290;BVRB_4g088120;BVRB_2g045760;BVRB_1g019480;BVRB_7g173810;BVRB_9g213420;BVRB_014210;BVRB_015220;BVRB_3g059210;BVRB_3g066310;BVRB_7g166000;BVRB_1g017710;BVRB_2g024760;BVRB_013240;BVRB_9g220510;BVRB_2g026050;BVRB_2g023800;BVRB_4g096660;BVRB_5g119070;BVRB_5g104200;BVRB_3g060820;BVRB_7g159270;BVRB_4g094630;BVRB_5g109550;BVRB_8g190570;BVRB_6g154120;BVRB_7g171400;BVRB_9g205800;BVRB_5g127020;BVRB_6g153190;BVRB_2g037780;BVRB_4g087050;BVRB_1g012980;BVRB_1g022070;BVRB_3g066460;BVRB_7g177100;BVRB_9g220570;BVRB_7g161530;BVRB_9g224290;BVRB_5g119690;BVRB_1g013070;BVRB_5g107060;BVRB_7g171140;BVRB_5g114770;BVRB_3g056980;BVRB_000510;BVRB_8g191690;BVRB_2g042770;BVRB_4g078610;BVRB_3g061600;BVRB_4g088300;BVRB_7g175690;BVRB_9g211990;BVRB_5g121720;BVRB_4g086490;BVRB_2g040670;BVRB_3g063430;BVRB_9g224730;BVRB_2g026330;BVRB_6g144610;BVRB_7g164890;BVRB_8g181340;BVRB_4g090400;BVRB_5g106050;BVRB_7g171300;BVRB_7g177770;BVRB_1g013200;BVRB_005140;BVRB_8g187520;BVRB_6g132870;BVRB_5g115930;BVRB_6g127910;BVRB_8g182690;BVRB_2g030060;BVRB_2g042330;BVRB_1g006330;BVRB_2g035720;BVRB_1g016440;BVRB_1g009670;BVRB_6g138930;BVRB_8g190440;BVRB_2g040060;BVRB_5g103140;BVRB_2g023550;BVRB_7g167090;BVRB_2g036610;BVRB_9g206520;BVRB_4g095860;BVRB_1g015620;BVRB_3g068390;BVRB_3g065380;BVRB_7g161290;BVRB_5g104000;BVRB_5g108940;BVRB_4g093530;BVRB_4g093450;BVRB_3g049560;BVRB_1g016770;BVRB_2g029370;BVRB_6g138600;BVRB_7g174680;BVRB_6g155890;BVRB_9g225500;BVRB_8g195320;BVRB_3g069050;BVRB_7g171470;BVRB_001820;BVRB_4g096100;BVRB_011310;BVRB_5g098810;BVRB_6g147330;BVRB_4g078590;BVRB_6g151000;BVRB_3g064820;BVRB_5g104900;BVRB_9g217820;BVRB_6g136080
