contrast	phenotype	total upregulated	total downregulated	sig. upregulated	sig. downregulated
2vs1	positive biostimulation	3127	2892	34	22
2vs1	neutral biostimulation	2887	2883	31	20
2vs1	negative biostimulation	5159	4875	23	17
