gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
BVRB_6g156050	247.861882266851	1.4881997746235	0.124245515503743	11.9778952873246	4.63953174029402e-33	9.58202490322924e-29
BVRB_7g173470	119.545559650117	1.30490512817763	0.113957657615797	11.4507893148967	2.33014024807621e-30	2.4062193271759e-26
BVRB_5g114270	984.159841188661	1.33944673212647	0.12778509142601	10.4820266369026	1.04480435332764e-25	7.19278143642528e-22
BVRB_1g001980	4875.9266206004	-1.81337206378149	0.189942733138638	-9.54694098488052	1.33582343270695e-21	6.89719033892414e-18
BVRB_6g152140	155.00091805504	1.61503154760703	0.171434677704363	9.42068179690073	4.48168336012912e-21	1.85120412873493e-17
BVRB_9g217450	24872.8683187499	1.09518220289045	0.126115954652521	8.68393064071819	3.82321976546702e-18	1.31601596360317e-14
BVRB_3g057500	1510.69227468256	-1.07744559035122	0.133481062508098	-8.07189851583517	6.92133949298469e-16	2.0420917792659e-12
BVRB_012940	186.482793360612	1.34148425190785	0.166935647130806	8.03593645194723	9.28668694934743e-16	2.39747431956091e-12
BVRB_1g015780	614.73442211381	0.743670213866781	0.0930546492574111	7.99175774452294	1.33028250021989e-15	3.05270271967126e-12
BVRB_2g026580	21.5569815075674	-23.2383413837626	2.97997743850445	-7.7981601751405	6.2816247030046e-15	1.29734394991154e-11
BVRB_9g216730	50.1359694381201	1.42318580615007	0.182915335866566	7.78057126488435	7.21977820259025e-15	1.35554617470997e-11
BVRB_4g072140	235.983648469611	2.46865267803794	0.325063286442834	7.59437556007137	3.0928019945328e-14	5.32296996609049e-11
BVRB_2g023780	27.5798460655919	2.20514929238413	0.294714385413307	7.48232662376366	7.30181918027751e-14	1.1600343963867e-10
BVRB_6g144670	44.0720843188499	1.71971646226333	0.231406287625466	7.43158917551416	1.07300623815506e-13	1.58291413118688e-10
BVRB_3g066840	79.3801578098191	2.03763985857277	0.285579469596446	7.1351062506425	9.67124243944874e-13	1.3316011340129e-09
BVRB_9g216800	45.9487899597854	2.02829701112096	0.287769643574487	7.04833555731167	1.81070565622209e-12	2.33728149487217e-09
BVRB_7g169350	389.022350277189	1.16405053467245	0.168880831011114	6.89273334162976	5.47304116052664e-12	6.64910112284452e-09
BVRB_4g079790	259.343500244657	-1.7351756465329	0.25596697007988	-6.77890450471557	1.21090528816479e-11	1.38937927313708e-08
BVRB_1g015930	206.247049846773	1.62705312199383	0.241563556298607	6.73550740403306	1.633588450611e-11	1.77571064581415e-08
BVRB_4g075180	882.04776056465	-0.388014995283105	0.0591903320690824	-6.55537790918698	5.55011418490988e-11	5.73132541304719e-08
BVRB_7g163960	491.117019365931	-1.01830561143316	0.15635199023108	-6.51290469618042	7.37112817955956e-11	7.24932906154493e-08
BVRB_7g174240	494.828302577175	0.568007482390513	0.09012410818672	6.30250322381786	2.92876446718129e-10	2.74944420639524e-07
BVRB_2g044270	494.514221429774	1.21631623574505	0.194409009339806	6.25648080752813	3.93761537153666e-10	3.5358074029716e-07
BVRB_1g020730	2315.46393793717	-0.854358579145253	0.137456332478807	-6.21549086708667	5.11644495780687e-10	4.40291407139938e-07
BVRB_7g172570	1766.34045256811	0.476072504289627	0.0786465179258017	6.05331954732914	1.41891003965795e-09	1.17218996196223e-06
BVRB_3g066850	19.2046177560408	2.60658459337564	0.432673507529012	6.024368370187	1.6977130493838e-09	1.34857183111245e-06
BVRB_7g160420	73.1387406378326	-1.52445462419944	0.257180157800291	-5.92757480685281	3.07441306989235e-09	2.35169826416617e-06
BVRB_4g077680	721.274301920739	-0.938554717554182	0.159389061041471	-5.88845126147009	3.8983147363397e-09	2.77627221550427e-06
BVRB_6g155280	460.089762025758	-0.888267772950427	0.150803935465154	-5.8902161287142	3.85690861859307e-09	2.77627221550427e-06
BVRB_7g160850	95.8513906588986	1.1913622834564	0.203489668849327	5.85465734055787	4.77994499608309e-09	3.18452270980981e-06
BVRB_9g202640	383.210000180962	-0.585489456431987	0.0999127010673216	-5.86001029075855	4.62838487490152e-09	3.18452270980981e-06
BVRB_6g152640	1874.90118556772	0.823630526084667	0.140985966205865	5.84193269904623	5.15986531546688e-09	3.33020932376055e-06
BVRB_2g046860	405.022476993903	-0.866361516423845	0.152371865125931	-5.68583652702435	1.30173871116609e-08	8.14691200051914e-06
BVRB_1g021950	66.7970258116385	0.866268763974528	0.152596446561492	5.67686065760022	1.37189133951838e-08	8.33343289266856e-06
BVRB_003830	526.376475697822	-1.00150171556717	0.176685926048297	-5.6682597078695	1.44255197305864e-08	8.51229311416575e-06
BVRB_7g160930	29.133550041154	1.45195294757074	0.257282416340402	5.64342083001005	1.66704201989632e-08	9.56372745469961e-06
BVRB_2g025750	76.884482828271	-1.42342637868713	0.252862350139266	-5.62925393164763	1.80990775637924e-08	1.01027094304055e-05
BVRB_5g118060	49.888922407688	1.17194775165313	0.210467547880602	5.56830619948105	2.57227510635129e-08	1.39803152030193e-05
BVRB_004790	1193.08113019046	0.250984673543157	0.0459433543261223	5.462915741014	4.68376948647868e-08	2.48035618472421e-05
BVRB_008020	558.782740992944	0.433459253105332	0.0797175016005231	5.43744152040118	5.40510820424909e-08	2.79079249355891e-05
BVRB_2g033220	3448.95744910013	0.628586150267618	0.115722263623016	5.43185149156208	5.57723298241618e-08	2.80942909233759e-05
BVRB_6g155210	288.00384093954	0.449335130235153	0.0839112140062676	5.3548877293277	8.56095566205693e-08	4.20974803067766e-05
BVRB_1g012190	3812.37178143302	0.989292091792325	0.186045239672683	5.31748134772396	1.05213466153225e-07	5.05342724758733e-05
BVRB_1g023180	8696.16254362533	-0.45260798000792	0.0874130352151437	-5.17780876609475	2.24507183217097e-07	0.000105380610340516
BVRB_7g160940	86.9643388141443	1.21186158707294	0.234607592861956	5.1654832321902	2.39818527908389e-07	0.00011006604570871
BVRB_2g028020	310.557196965102	-0.642977631923554	0.124600041681543	-5.16033239833817	2.46511764994979e-07	0.000110678423531333
BVRB_4g090290	7661.21771045683	-0.933322456261477	0.184112615319471	-5.06930203909157	3.99277178075696e-07	0.000175452586357391
BVRB_1g001800	554.080915159806	0.592273244528898	0.117645691790777	5.0343810768881	4.79395173489938e-07	0.000206269760793493
BVRB_3g051050	313.817730017648	1.50177732659117	0.299337573090567	5.01700241331481	5.24839087445005e-07	0.000221214319857177
BVRB_2g044280	860.676851500168	1.2510868650945	0.250681885423693	4.99073502251654	6.0149964838527e-07	0.000238899466117327
BVRB_8g197630	206.162634483198	-0.943981216096109	0.189067192254642	-4.99283458351	5.94995149258948e-07	0.000238899466117327
BVRB_9g216440	290.794263787784	-0.573518342603591	0.114847018704865	-4.99375908117758	5.92152578957416e-07	0.000238899466117327
BVRB_6g154770	1106.96327321214	1.67250928237566	0.3357425994312	4.98152240796714	6.30859774377525e-07	0.00024583296075885
BVRB_2g047040	1391.91525484962	-0.449973854448616	0.0910870087406119	-4.94004425735403	7.81048410723707e-07	0.000298722089382902
BVRB_8g185580	14.0105735862311	2.39316324670998	0.493860801711293	4.84582546016479	1.26086329425341e-06	0.000473465629385739
BVRB_3g053060	49.3289061646063	-7.58865809330419	1.5676638639355	-4.84074313880875	1.2935448243403e-06	0.000477063951019645
BVRB_4g077570	5873.10872201853	0.682951898937212	0.141506216413408	4.82630315647744	1.39090734967534e-06	0.000503972096365697
BVRB_8g192010	18909.7537295756	-0.635535498252559	0.132616476727322	-4.79228157719276	1.64895251667724e-06	0.000587169247016123
BVRB_2g030250	257.644649817607	-0.470857544686956	0.101076505549783	-4.65842721932095	3.18634418175956e-06	0.00108481152092728
BVRB_6g151040	228.242096022654	0.411411157759931	0.088319900244057	4.65819318888571	3.18996785481204e-06	0.00108481152092728
BVRB_6g153730	211.671659006081	-1.36674580634131	0.293464048651111	-4.65728532208109	3.20406249826e-06	0.00108481152092728
BVRB_1g016100	77.8534585328782	-0.751027323012961	0.162641069584612	-4.61769788486449	3.88020605313808e-06	0.00129254670347517
BVRB_6g128750	116.419299247519	0.425976514856207	0.0927437872563995	4.59304636415755	4.36821963786376e-06	0.00143201333620318
BVRB_1g004720	219.919801680363	1.02551019845676	0.223992445727932	4.57832493021832	4.68714214541874e-06	0.00151255541764583
BVRB_3g052070	369.344426601958	0.426767441020387	0.0933413795469745	4.57211413728479	4.82827799871629e-06	0.00153412962319212
BVRB_3g056650	295.772851680262	0.469258662955419	0.102916637807224	4.55959962308915	5.12512394205007e-06	0.00155660565845824
BVRB_6g140590	20327.5131646823	-0.333677432705453	0.0731360148922808	-4.56242294848733	5.05666533969869e-06	0.00155660565845824
BVRB_6g147460	551.235653740666	0.264632987557604	0.0579827093636984	4.56399831021494	5.01884827130702e-06	0.00155660565845824
BVRB_7g167470	395.168296720469	-0.61031651483935	0.134594991309411	-4.53446676508441	5.77491939023292e-06	0.0017285421763258
BVRB_2g035150	7500.01867250839	-0.426536732647493	0.0942986125711431	-4.52325565581036	6.08956112282867e-06	0.00179668151242543
BVRB_3g048660	7042.35424131537	-0.468801403186651	0.104046355125068	-4.50569750976028	6.61552720848278e-06	0.00192437300615204
BVRB_4g081760	12.8142432319176	1.46956900053159	0.327476588592424	4.48755438319473	7.20454249163457e-06	0.00206660300110734
BVRB_8g192000	2571.41531422521	-1.01626353208176	0.226810545438937	-4.48067143489747	7.44085845161033e-06	0.00210515136439874
BVRB_2g044050	5034.21271253212	1.1337802030587	0.253304341126718	4.47596041195168	7.60685801228602e-06	0.00212303295307761
BVRB_5g100020	3069.82626385023	-0.638354316556265	0.144037539612338	-4.43186073765444	9.34233524415042e-06	0.00257262999729918
BVRB_6g140280	215.270759209617	-0.654020329090055	0.147998847119212	-4.41909070118125	9.91170458849826e-06	0.0026935057219244
BVRB_1g012590	505.546472707943	-0.349531857580107	0.0792284978351033	-4.41169360938258	1.02565183167112e-05	0.00275101133500047
BVRB_4g073270	28.078829425896	-4.59850935981015	1.04684547857023	-4.3927298287525	1.11936196823296e-05	0.00296386958075836
BVRB_1g007060	493.535063921774	0.42940724566734	0.0988988524630964	4.3418829943206	1.4126676276646e-05	0.00369314234356417
