gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
BVRB_1g001980	5075.68913089213	-1.68452914328816	0.0852490113081938	-19.7601018174653	6.56721665161402e-87	1.2865834142177e-82
BVRB_2g046860	437.162334552165	-0.952504185193727	0.0622926469067854	-15.2907964662194	8.80664870848112e-53	8.62655274239268e-49
BVRB_7g173470	132.054377863663	1.33153089214215	0.101082892802758	13.1726631007717	1.26070954561014e-39	8.23285356934942e-36
BVRB_012940	165.166671777472	1.59143874392341	0.12473535554875	12.7585217272375	2.79454046596961e-37	1.36869605672027e-33
BVRB_6g153730	251.62493812261	-1.3957656859391	0.113968760828227	-12.2469146439417	1.74509503092114e-34	6.83763135015521e-31
BVRB_9g217450	24927.4701768992	1.05993619216716	0.0962045338693736	11.0175284837027	3.1457796739975e-28	1.02714949322142e-24
BVRB_1g012190	3434.20504833678	1.22418906066625	0.113328929310365	10.8020879409675	3.36464006290426e-27	9.41666621033678e-24
BVRB_5g114270	930.248379808276	1.31027640832102	0.126742713699233	10.3380807470351	4.73933917334271e-25	1.16060492181196e-21
BVRB_006460	1778.63555933461	1.17245239521519	0.113644348182694	10.3168561742319	5.91275646065264e-25	1.28707568689607e-21
BVRB_1g015930	149.26964853386	1.52143746176946	0.153887383871944	9.88669391530829	4.75471382127055e-23	9.31495984725113e-20
BVRB_2g023780	23.8298606497457	2.44816227808237	0.248380396762993	9.85650361295797	6.42477487955007e-23	1.14425240604787e-19
BVRB_7g169350	378.521887753106	1.24285347815877	0.126936790097215	9.79112105487249	1.22925308617638e-22	2.00685810094012e-19
BVRB_3g066850	21.2264225549695	3.05913812276762	0.315048835506298	9.71004421537204	2.73218569358152e-22	4.11740384022736e-19
BVRB_2g025460	2370.41398796968	-1.26953762910046	0.135374154903313	-9.37799116830822	6.72415826218009e-21	9.40949889388358e-18
BVRB_6g152640	1541.35980137763	0.799658787189947	0.0859567560229683	9.30303590070654	1.364916033793e-20	1.78267133453591e-17
BVRB_4g084740	1789.04062737804	-0.932424477007245	0.100709590377445	-9.25854701138841	2.07232948594453e-20	2.53743793494621e-17
BVRB_003830	549.001175373605	-0.789716840178216	0.0855292542694315	-9.23329505119353	2.62431958525732e-20	3.0242967643986e-17
BVRB_4g085000	392.108824342807	0.607279368813187	0.0664493999692874	9.13897445415412	6.30473595848782e-20	6.86200456459639e-17
BVRB_5g113110	1501.93537094123	0.741928700201957	0.0819517128978269	9.05324213451102	1.38785101725846e-19	1.43102048837424e-16
BVRB_5g120600	245.461416565185	0.820969964930955	0.0918445773933845	8.93868738068895	3.93820234185829e-19	3.85766610396728e-16
BVRB_7g162170	25623.4633840106	-0.8502455525206	0.0981284661540579	-8.66461676049992	4.53034365074203e-18	4.22637916484224e-15
BVRB_4g072140	221.671689331119	2.62575544595311	0.303876099615788	8.64087517666917	5.57840382577165e-18	4.96756860684966e-15
BVRB_3g053350	171.9666994183	-1.92901875302763	0.237644332707006	-8.11725123445691	4.7686094302103e-16	4.06181858031522e-13
BVRB_9g216730	45.0629675887839	1.48372842107432	0.183240442996345	8.09716674339145	5.62539435531938e-16	4.59196253396092e-13
BVRB_5g123260	2373.84748488179	0.355714502629094	0.0440065029826762	8.08322585344093	6.30756522179852e-16	4.94286041041019e-13
BVRB_3g048220	594.547421573739	-0.731212314299965	0.0919621105283303	-7.95123459106242	1.84661884725367e-15	1.39142730140564e-12
BVRB_2g026580	23.2559661892685	-23.3260026710233	2.97990598312428	-7.82776463523427	4.96620527684654e-15	3.6034417621741e-12
BVRB_7g174160	2484.68612284084	-1.34241115372667	0.175020154453939	-7.67003753319139	1.7194602759643e-14	1.20306950951488e-11
BVRB_2g044600	340.178330548381	0.815816528423195	0.107447609488813	7.59269128745145	3.13328432154317e-14	2.0663475403774e-11
BVRB_6g127660	284.427920606718	1.06268327023585	0.139984815334838	7.59141816699157	3.16422981018438e-14	2.0663475403774e-11
BVRB_4g079790	271.276231655709	-1.51477932437622	0.203581908706675	-7.44063818833111	1.00200037709474e-13	6.33231915731064e-11
BVRB_9g221230	38642.2696168382	-0.617728057113064	0.0844978659625027	-7.31057583616598	2.65999971284207e-13	1.62850169919653e-10
BVRB_3g070610	157.055410058652	0.749772953857928	0.105804279089043	7.08641427656187	1.37631402320681e-12	8.17071758443776e-10
BVRB_3g066840	71.2469287639265	2.02976711119101	0.28681304665803	7.07696924823341	1.47341212637384e-12	8.48988734346763e-10
BVRB_3g057500	1590.30044475742	-0.953226550065342	0.135176612838921	-7.05171205318797	1.76729636420683e-12	9.89231516319313e-10
BVRB_2g043010	132.520788949687	-0.750890662489278	0.107612503855268	-6.97772689593006	2.99994089492131e-12	1.63255116867787e-09
BVRB_1g015780	546.432793793607	0.844029706502268	0.121197722007631	6.96407236473573	3.30574663395887e-12	1.75034817042941e-09
BVRB_6g155280	513.008484441621	-0.755938059409889	0.110245082699399	-6.85688686425207	7.03773216794052e-12	3.62832133952955e-09
BVRB_9g202450	8326.0882650632	0.507032822386434	0.0747664243464186	6.78155772218257	1.18886958680347e-11	5.97208822437611e-09
BVRB_4g076510	253.612545912978	1.11683673947766	0.165661514155983	6.7416789298815	1.56566765072354e-11	7.66824873633123e-09
BVRB_2g030260	144.824812438264	-0.793264577422847	0.118881634045142	-6.67272605894385	2.51094838762066e-11	1.19980463077747e-08
BVRB_7g176960	4495.04060670136	0.55342589221461	0.0830866573931923	6.66082749719517	2.72290088262606e-11	1.27010359979827e-08
