gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
BVRB_2g025460	1373.6883252994	-1.35983627502337	0.107160819464107	-12.6896778302339	6.74627133656986e-37	1.39897428706449e-32
BVRB_4g072140	192.37840185309	2.74888794703509	0.242970519731028	11.3136686297504	1.122940021409e-29	1.16432036119792e-25
BVRB_6g154770	775.753158176981	1.75355405116921	0.163529079251232	10.7231940594199	7.92194270486202e-27	5.47591086235745e-23
BVRB_1g001980	3829.42920581834	-1.78425270705123	0.170160369876087	-10.4857124390981	1.00485447727388e-25	5.20941682380711e-22
BVRB_009570	178.049213485645	2.30341108700582	0.224697840599154	10.2511491915712	1.16944772097699e-24	4.85016747797997e-21
BVRB_8g189150	337.186290846352	1.86560283121037	0.194092348156891	9.61193395270968	7.11989282326093e-22	2.46075362459936e-18
BVRB_2g044050	5564.23021756976	1.16950628865859	0.126912003339792	9.21509595532409	3.11000018299555e-20	9.21315339925411e-17
BVRB_5g114270	992.47695359654	1.30137378551741	0.145590541991474	8.93858740902014	3.94176617882372e-19	1.02175506562834e-15
BVRB_9g217450	23003.7793046679	1.14562448357506	0.130722494196841	8.76378997060737	1.88793425612954e-18	4.35001029659537e-15
BVRB_2g041900	114.679336274225	-2.10646827936977	0.249095951817643	-8.45645328235548	2.75632620327046e-17	5.71579364772195e-14
BVRB_3g057500	1286.92464949132	-1.22811795234105	0.156227918581076	-7.86106582930442	3.80878541832026e-15	7.18025301997339e-12
BVRB_1g015930	183.24102507381	1.43947847898618	0.191899525425597	7.50120916554476	6.32317956278873e-14	1.09269812161292e-10
BVRB_1g012190	3752.94456577437	0.896237196377268	0.12136255362638	7.38479184556694	1.52692078732751e-13	2.43567356667774e-10
BVRB_4g079790	283.322365143791	-1.22927990771928	0.167155113200573	-7.35412685966859	1.92179153137213e-13	2.84658507043313e-10
BVRB_6g152640	1773.28767463101	0.775898257460799	0.106292306738768	7.29966524640115	2.88484563270091e-13	3.98820292568792e-10
BVRB_003830	407.485282462315	-1.11606782296421	0.155603230795253	-7.17252345764446	7.36277940769294e-13	9.54262228608303e-10
BVRB_3g048220	461.478386248682	-0.976454719040081	0.139758919627522	-6.98670769380929	2.81411693304585e-12	3.4327260494454e-09
BVRB_7g169350	346.65688013251	1.19561816137441	0.172138697577162	6.94566752393647	3.76674937810868e-12	4.33950454743554e-09
BVRB_3g053550	678.185518711948	0.914834508145912	0.132842385338265	6.88661608880638	5.71351384001467e-12	6.2358492894939e-09
BVRB_6g127660	222.746792625163	1.15363159017417	0.168468728121946	6.8477491522291	7.50209611859367e-12	7.77854836056385e-09
BVRB_6g153730	113.142732721891	-1.49369022122821	0.220977219485763	-6.75947604329617	1.384916563105e-11	1.3675721318623e-08
BVRB_6g156050	259.546285149853	1.26455552981727	0.189511366691474	6.67271600587407	2.51112046077819e-11	2.3669593179617e-08
BVRB_5g113110	1761.13596405645	0.765347118186931	0.116022848478295	6.59652067006535	4.20918842224767e-11	3.79504088313695e-08
BVRB_4g084740	1450.64931043826	-1.25935597572661	0.191213735644731	-6.58611669020711	4.51479040216162e-11	3.90096702373439e-08
BVRB_004160	103.268969656297	-1.48572181648178	0.227829395547519	-6.52120334564951	6.97455527222219e-11	5.78525410720286e-08
BVRB_6g135490	5328.94690194702	-0.70747625240126	0.109107145598741	-6.48423390162837	8.91837740532725e-11	7.11309200977966e-08
BVRB_1g004050	434.187381041086	-1.11949003365229	0.174938613125323	-6.39933067750062	1.56059533870094e-10	1.19859501994968e-07
BVRB_4g077570	5649.61607495057	0.633819971746804	0.100345416813447	6.31638187247897	2.67757940114043e-10	1.98303443005176e-07
BVRB_006460	2073.00263156278	0.853355987520977	0.135389664317372	6.30296257711808	2.92009416830487e-10	2.0880687161427e-07
BVRB_2g046860	345.278448607592	-1.06519086637401	0.169992321860917	-6.26611163794515	3.70174993017544e-10	2.5587729434016e-07
BVRB_7g176840	151.715146555001	-1.77259041887463	0.286361944880396	-6.19003485122643	6.01509142814912e-10	4.02370809501704e-07
BVRB_012940	221.479596561578	1.0692968260205	0.174006312626543	6.14516111444446	7.98823893165829e-10	5.17662846018119e-07
BVRB_8g198850	2026.14797914518	-0.73083586219608	0.11908934368059	-6.13687034967844	8.41630169369471e-10	5.2887529764287e-07
BVRB_1g020730	2449.25419501245	-0.753188732345931	0.122969178545643	-6.1250204421457	9.06719646063843e-10	5.53018979424292e-07
BVRB_1g020040	1610.05236214076	0.894566947048936	0.146718184679198	6.09717840365136	1.07957014764235e-09	6.39629890047409e-07
BVRB_6g141430	832.934733377453	-0.752225234462951	0.128828384285666	-5.83897126890106	5.25241255426625e-09	3.02553553160609e-06
BVRB_7g173470	131.09217400482	1.26200074039858	0.219136400650286	5.75897357378147	8.46269485043538e-09	4.74299738144536e-06
BVRB_8g183480	285.147648938232	1.27472291029514	0.224880577331647	5.66844378212006	1.44100334778736e-08	7.86370695343856e-06
BVRB_5g111260	1991.58333016546	0.819018159307409	0.144714090014468	5.65956058062851	1.51761071478153e-08	8.06940856216016e-06
BVRB_7g162170	29608.5294711078	-0.769216934371398	0.139644330532121	-5.50840074523801	3.62108315339266e-08	1.87726003379759e-05
BVRB_006350	171.624326591909	1.54202868934576	0.281475242456789	5.47838124549263	4.2923451532047e-08	2.17098442541478e-05
BVRB_8g196230	740.576945528584	-0.846397645503868	0.154625993134848	-5.47383805493641	4.40391551079507e-08	2.17438085588946e-05
BVRB_3g066840	55.5875573561043	1.93400719206913	0.355607173591663	5.43860567416425	5.36991562928312e-08	2.58967303266149e-05
